defined_class	defined_class_label	taxon	lbo_id	venom_code	fci_id
ID	LABEL	SC 'in taxon' some %	A http://purl.obolibrary.org/obo/omia#lbo_id	A http://purl.obolibrary.org/obo/omia#venom_code	A http://purl.obolibrary.org/obo/omia#fci_id
OMIA:1035	Friesian-Jersey mosaic	NCBITaxon:9913			
OMIA:1036	American Brown Swiss	NCBITaxon:9913			
OMIA:1037	Beef Booster Composite	NCBITaxon:9913			
OMIA:1040	Norwegian breeds	NCBITaxon:9940			
OMIA:1048	Australian Spotted Pony	NCBITaxon:9796			
OMIA:1050	Wisconsin hypoalpha mutant (WHAM)	NCBITaxon:9031			
OMIA:1051	Connecticut (CT) strain	NCBITaxon:9031			
OMIA:1052	S2 line	NCBITaxon:9031			
OMIA:1053	Fayoumi eplipeptic strain	NCBITaxon:9031			
OMIA:1054	Huiyang Bearded	NCBITaxon:9031			
OMIA:1055	NH-413 strain	NCBITaxon:9031			
OMIA:1056	OPN strain	NCBITaxon:9031			
OMIA:1057	Polymorphic Nucleolar (PNU) strain	NCBITaxon:9031			
OMIA:1058	ISA Brown	NCBITaxon:9031			
OMIA:1059	Lohmann Brown	NCBITaxon:9031			
OMIA:1060	Marans	NCBITaxon:9031			
OMIA:1061	TETRA	NCBITaxon:9031			
OMIA:1063	Beijing You	NCBITaxon:9031			
OMIA:1065	Limonero	NCBITaxon:9913			
OMIA:1068	Commercial lines	NCBITaxon:9103			
OMIA:1069	Polski Owczarek Nizinny	NCBITaxon:9615			
OMIA:1071	FH-r strain	NCBITaxon:9823			
OMIA:1073	Rouge-des-Pr̩s	NCBITaxon:9913			
OMIA:1075	Schnauzer-Beagle cross	NCBITaxon:9615			
OMIA:1076	Normand	NCBITaxon:9793			
OMIA:1077	miniature donkey	NCBITaxon:9793			
OMIA:1080	Italian Holstein	NCBITaxon:9913			
OMIA:1081	Italian Holstein	NCBITaxon:9913			
OMIA:1083	American Bully	NCBITaxon:9615			
OMIA:1088	American Bashkir Curly horse	NCBITaxon:9796			
OMIA:1094	Miniature Zebu	NCBITaxon:9913			
OMIA:1095	Scottish Highland	NCBITaxon:9913			
OMIA:1097	Spanish horse	NCBITaxon:9796			
OMIA:1098	Standardbred �� Tennessee Walking Horse cross	NCBITaxon:9796			
